04/03/2020 07:20:31 PM DEBUG Parsing documents.
04/03/2020 07:20:31 PM DEBUG Created document: Form ID - 996511, Contract Number - <Element 'v_vertragsnummer' at 0x1104979a0>
04/03/2020 07:20:31 PM DEBUG Created document: Form ID - 996511, Contract Number - <Element 'v_vertragsnummer' at 0x1104ab090>
04/03/2020 07:20:31 PM INFO Form Ids match.
04/03/2020 07:20:31 PM INFO Contract numbers match.
04/03/2020 07:20:31 PM DEBUG Comparing documents.
04/03/2020 07:20:31 PM ERROR Tags match: formular formular
04/03/2020 07:20:31 PM ERROR Tags match: abschlagsformular abschlagsformular
04/03/2020 07:20:31 PM ERROR Tags match: start start
04/03/2020 07:20:31 PM ERROR Tags match: erstellung_start_datum erstellung_start_datum
04/03/2020 07:20:31 PM ERROR Tags match: erstellung_start_uhr erstellung_start_uhr
04/03/2020 07:20:31 PM ERROR Tags match: aufruf_von aufruf_von
04/03/2020 07:20:31 PM ERROR Tags match: name_des_reports name_des_reports
04/03/2020 07:20:31 PM ERROR Tags match: name_des_datenstroms name_des_datenstroms
04/03/2020 07:20:31 PM ERROR Tags match: name_variante_des_datenstroms name_variante_des_datenstroms
04/03/2020 07:20:31 PM ERROR Tags match: name_nutzer name_nutzer
04/03/2020 07:20:31 PM ERROR Tags match: name_terminal name_terminal
04/03/2020 07:20:31 PM ERROR Tags match: name_schema name_schema
04/03/2020 07:20:31 PM ERROR Tags match: para_pk para_pk
04/03/2020 07:20:31 PM ERROR Tags match: name_datenbank name_datenbank
04/03/2020 07:20:31 PM ERROR Tags match: name_xml_kommentar name_xml_kommentar
04/03/2020 07:20:31 PM ERROR Tags match: name_freigabe_zum_loeschen name_freigabe_zum_loeschen
04/03/2020 07:20:31 PM ERROR Tags match: transaktionsnummer transaktionsnummer
04/03/2020 07:20:31 PM ERROR Tags match: dms_path dms_path
04/03/2020 07:20:31 PM ERROR Tags match: testdruck_jn testdruck_jn
04/03/2020 07:20:31 PM ERROR Tags match: block_abschlag block_abschlag
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: vertrag vertrag
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: objectinfo objectinfo
04/03/2020 07:20:31 PM ERROR Tags match: v_medium_sortierfolgenummer v_medium_sortierfolgenummer
04/03/2020 07:20:31 PM ERROR Tags match: v_medium_bezeichnung v_medium_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_medium_kurzbezeichnung v_medium_kurzbezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_medium_druckbezeichnung v_medium_druckbezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_medium_mengeneinheit v_medium_mengeneinheit
04/03/2020 07:20:31 PM ERROR Tags match: v_abrechnung_von v_abrechnung_von
04/03/2020 07:20:31 PM ERROR Tags match: v_abrechnung_bis v_abrechnung_bis
04/03/2020 07:20:31 PM ERROR Tags match: v_tarif_bezeichnung v_tarif_bezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_tarif_kurzbezeichnung v_tarif_kurzbezeichnung
04/03/2020 07:20:31 PM ERROR Tags match: v_tarif_bezeichnung_druck v_tarif_bezeichnung_druck
04/03/2020 07:20:31 PM ERROR Tags match: v_tarif_bezeichnung_lang v_tarif_bezeichnung_lang
04/03/2020 07:20:31 PM ERROR Tags match: v_tarif_all_inclusive_tarif v_tarif_all_inclusive_tarif
04/03/2020 07:20:31 PM ERROR Tags match: v_tarif_grundversorgungstarif v_tarif_grundversorgungstarif
04/03/2020 07:20:31 PM ERROR Tags match: v_tarif_ersatzversorgungstarif v_tarif_ersatzversorgungstarif
04/03/2020 07:20:31 PM ERROR Tags match: v_vertragsnummer v_vertragsnummer
04/03/2020 07:20:31 PM ERROR Tags match: v_abrechnung_id v_abrechnung_id
04/03/2020 07:20:31 PM ERROR Tags match: v_verbrauchsart v_verbrauchsart
